"nome","marca","referencia","categoria","subcategoria","genero","faixa_etaria","tipo_produto","preco","preco_pix","tamanhos_disponiveis","cores_disponiveis","descricao","link","imagem_url","em_estoque","em_liquidacao"
"Chinelo Ipanema 26791 Turma da Monica","Ipanema","2367272-AT993ROSAAMARELO","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","24.99","23.74","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AT993 ROSA/AMARELO | AT994 VERMELHO/VERMELHO | BG952 ROSA/VERDE","Conforto Fabricado com materiais de alta qualidade, o chinelo é resistente, leve e macio ao toque, garantindo conforto prolongado durante o uso. Seu design se adapta bem aos pezinhos e o solado antiderrapante oferece mais segurança a cada passo. Versatil Ideal para diversas situações, desde um dia na praia ou na piscina, até momentos em casa ou passeios no parque, esse chinelo une versatilidade com um visual super fofo e divertido. Qualidade Fabricado com materiais de alta qualidade, o chinel...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-26791-turma-monica-at993-rosa-amarelo","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6047/05-chinelo-ipanema-26791-turma-monica.png?ims=290x290","true","false"
"Chinelo Ipanema 26791 Turma da Monica","Ipanema","2367272-BG952ROSAVERDE","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","24.99","23.74","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AT993 ROSA/AMARELO | AT994 VERMELHO/VERMELHO | BG952 ROSA/VERDE","Conforto Fabricado com materiais de alta qualidade, o chinelo é resistente, leve e macio ao toque, garantindo conforto prolongado durante o uso. Seu design se adapta bem aos pezinhos e o solado antiderrapante oferece mais segurança a cada passo. Versatil Ideal para diversas situações, desde um dia na praia ou na piscina, até momentos em casa ou passeios no parque, esse chinelo une versatilidade com um visual super fofo e divertido. Qualidade Fabricado com materiais de alta qualidade, o chinel...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-26791-turma-monica-bg952-rosa-verde","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6043/01-chinelo-ipanema-26791-turma-monica.png?ims=290x290","true","false"
"Chinelo Ipanema 26791 Turma da Mônica Babys","Ipanema","2351078-BB032ITMONROSAROSAVE","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","25.99","24.69","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BB032I/TMON ROSA/ROSA/VE","Conforto dia-a-dia Desenvolvido em material leve e macio, o chinelo acompanha os movimentos naturais dos pés, proporcionando bem-estar em cada passo. Segurança e qualidade A tira traseira com elástico mantém o chinelo firme no pé, evitando que escorregue ou saia com facilidade, ideal para as pequenas exploradoras. Visual alegre e divertido A estampa traz figuras reconhecíveis e queridas do universo infantil, criando uma conexão divertida com o universo das crianças sem abrir mão do estilo. Pe...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-26791-turm-monica-f-bb032i-tmon-rosa-rosa-ve","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/5934/03-chinelo-ipanema-26791-turma-da-monica.png?ims=290x290","true","false"
"Chinelo Ipanema 27065 Disney Marie","Ipanema","2367274-AN878ROSAROSA","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AN878 ROSA/ ROSA","Conforto Desenvolvido com materiais de alta qualidade, o chinelo é leve, resistente e possui toque macio, ideal para os pés sensíveis das crianças. O modelo conta com design que proporciona conforto prolongado, além de solado antiderrapante, que garante mais segurança ao caminhar. Versatil Versátil, pode ser usado em diversas ocasiões: em casa, na praia, na piscina ou em passeios. A praticidade de calçar e a durabilidade dos materiais fazem dele uma excelente escolha para o dia a dia das pequ...","https://www.chinelarialeilaneneves.com.br/chinelo-dedo-ipanema-27065-an878-rosa-rosa","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6053/01-chinelo-ipanema-27065-disney-marie.png?ims=290x290","true","false"
"Chinelo Ipanema 27065 Marie Brilho","Ipanema","2367275-BC951IDISNROSAGLITTER","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","35.99","34.19","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BC951I/DISN ROSA/GLITTER","Conforto Desenvolvido com materiais de alta qualidade, o chinelo é leve, resistente e possui toque macio, ideal para os pés sensíveis das crianças. O modelo conta com design anatômico que proporciona conforto prolongado, além de solado antiderrapante, que garante mais segurança ao caminhar. Versatil Versátil, pode ser usado em diversas ocasiões: em casa, na praia, na piscina ou em passeios. A praticidade de calçar e a durabilidade dos materiais fazem dele uma excelente escolha para o dia a di...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-27065-disney-marie-bc951i-disn-rosa-glitter","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6067/03-chinelo-ipanema-27065-marie-brilho.png?ims=290x290","true","false"
"Chinelo Ipanema 27182 Glitter","Ipanema","2351017-AW986ROSAROSA","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AW986 ROSA/ROSA | BE467 ROSA/ROSA/GLITTER","Design Sofisticado O Chinelo Ipanema Baby Menina Glitter destaca-se pelo seu acabamento delicado e moderno. As tiras finas com aplicação de glitter agregam um toque de elegância, enquanto a palmilha estampada com efeito brilhante proporciona um visual diferenciado e exclusivo.. Segurança e Lazer Projetado com um solado anatômico em borracha macia e flexível, este chinelo garante conforto prolongado e melhor adaptação ao formato dos pés infantis. A sola antiderrapante oferece maior aderência a...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-27182-glitter-baby-aw986-rosa-rosa","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/2368/04-chinelo-ipanema-27182-glitter.png?ims=290x290","true","false"
"Chinelo Ipanema 27182 Glitter","Ipanema","2351017-BE467ROSAROSAGLITTER","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","AW986 ROSA/ROSA | BE467 ROSA/ROSA/GLITTER","Design Sofisticado O Chinelo Ipanema Baby Menina Glitter destaca-se pelo seu acabamento delicado e moderno. As tiras finas com aplicação de glitter agregam um toque de elegância, enquanto a palmilha estampada com efeito brilhante proporciona um visual diferenciado e exclusivo.. Segurança e Lazer Projetado com um solado anatômico em borracha macia e flexível, este chinelo garante conforto prolongado e melhor adaptação ao formato dos pés infantis. A sola antiderrapante oferece maior aderência a...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-27182-glitter-baby-be467-rosa-rosa-glitter","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/2365/01-chinelo-ipanema-27182-glitter.png?ims=290x290","true","false"
"Chinelo Ipanema 27192 Mundo Bita Girl","Ipanema","2367276-BF453BITAROSAAMARELO","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BF453BITA ROSA/AMARELO","Conforto O modelo possui elástico traseiro, que garante mais estabilidade e segurança durante os primeiros passos, além de facilitar o calce no dia a dia, com solado macio e tiras flexíveis, oferece conforto extremo para brincadeiras dentro e fora de casa. Versatil A versatilidade do design permite o uso tanto em ambientes internos quanto externos, ideal para acompanhar os pequenos em todas as aventuras. Estampa Desenvolvido especialmente para crianças, ele traz a magia do universo Mundo Bita...","https://www.chinelarialeilaneneves.com.br/chinelo-ipanema-27192-m-bita-baby-f-bf453bita-rosa-amarelo","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/6165/04-chinelo-ipanema-27192-mundo-bita-boy.png?ims=290x290","true","false"
"Chinelo Ipanema 27311 Baby Shark Girl","Ipanema","2367106-BF678ROSAROSA","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25","BF678 ROSA/ROSA","Conforto e Estilo O Chinelo Ipanema 27311 Baby Shark é a escolha perfeita para os pequenos que adoram conforto e diversão! Inspirado no fenômeno mundial Baby Shark, ele traz uma estampa vibrante e cheia de cor que encanta as crianças e conquista os pais pela praticidade. Qualidade Feito com material macio e flexível, proporciona máximo conforto para os pezinhos em crescimento. A palmilha macia e a leveza do chinelo garantem um caminhar suave e seguro. Versatil e Seguro Outro grande destaque é...","https://www.chinelarialeilaneneves.com.br/chinelo-dedo-ipanema-27311-baby-shark-m-bf678-rosa-rosa","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/04/produto/5978/04-chinelo-ipanema-27311-baby-shark-girl.png?ims=290x290","true","false"
"Chinelo Ipanema 27323 Disney Joy","Ipanema","2453965-br269azulazultranp","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","36.99","35.14","17/18 | 19 | 20/21 | 22 | 23/24 | 25","br269 azul/azul tranp","Conforto com Segurança Com design pensado para os primeiros passos, o Chinelo Ipanema 27323 Disney Joy conta com elástico traseiro que ajuda a manter o chinelo firme no pé das crianças. O solado emborrachado é macio, leve e antiderrapante, oferecendo segurança e liberdade para explorar o mundo com conforto. Visual Encantador e Brilhante Os personagens mais amados da Disney estampam esse modelo em cores vibrantes e divertidas, como Stitch, Mickey e Pooh. As tiras translúcidas adicionam um toqu...","https://www.chinelarialeilaneneves.com.br/chinelo-dedo-ipanema-27323-disney-joy-br269-azul-azul-tranp","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/07/produto/10520/01-chinelo-ipanema-27323-disney-joy.png?ims=290x290","true","false"
"Chinelo Rider 11645 Street Baby","Rider","2545672-rosarider","Baby Menina","Chinelos","Unissex Baby","Baby","Chinelo","29.99","28.49","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","rosa rider","Conforto Possui palmilha macia e formato anatômico, que acompanha os movimentos dos pés do bebê, oferecendo conforto prolongado e segurança ao caminhar. Versatilidade Perfeito para diversas ocasiões do dia a dia, como passeios, escola, brincadeiras e momentos de lazer. Um modelo prático para pais e confortável para as crianças. Estilo O visual moderno e esportivo da Rider traz um toque atual ao look infantil, combinando facilmente com roupas leves e casuais. Perguntas Frequentes O chinelo Rid...","https://www.chinelarialeilaneneves.com.br/chinelo-rider-11645-street-baby-rosa-rider","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/12/produto/12280/05-chinelo-rider-11645-street-baby.png?ims=290x290","true","false"
"Meia Baby Cano Medio Molekinha 2799.1 Cats","Molekinha","2561728-86680brancocinzapink","Baby Menina","Meias","Unissex Baby","Baby","Meia","34.99","33.24","19-22 | 23-27 | 28-33","86680 branco/cinza/pink","Conforto, Delicadeza e Estilo","https://www.chinelarialeilaneneves.com.br/meia-cano-medio-molekinha-2799-1-cats-86680-branco-cinza-pink","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/13767/01-meia-baby-cano-medio-molekinha-2799-1-cats.png?ims=290x290","true","false"
"Meia Cano Médio Baby Molekinha 2799.1 Liso","Molekinha","2561729-8414brancoliso23-27","Baby Menina","Meias","Unissex Baby","Baby","Meia","32.99","31.34","19-22 | 23-27 | 28-33","8414 branco liso 23-27","Conforto e delicadeza para acompanhar o dia a dia","https://www.chinelarialeilaneneves.com.br/meia-cano-medio-molekinha-2799-1-liso-8414-branco-liso-23-27","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/13782/01-meia-cano-medio-baby-molekinha-2799-1-liso.png?ims=290x290","true","false"
"Mochila Clio Pets CP24021D Animals","Clio Pets","2370581-VAQUINHAAZULLARANJA","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","89.90","85.41","UN","RAPOSA LILAS/LARANJA | VAQUINHA AZUL/LARANJA | VAQUINHA ROSA/AZUL","Design Encantador de Bichinhos Com estampa exclusiva de animais, a mochila apresenta detalhes em PU e puxadores personalizados, proporcionando um visual lúdico e divertido que agrada às crianças. Disponível em diferentes modelos de bichinhos, como raposinha, vaquinha e girafinha, oferece opções para todos os gostos. Funcionalidade e Conforto Equipada com compartimento principal espaçoso, bolso frontal com zíper e dois bolsos laterais telados, a mochila facilita a organização dos materiais esc...","https://www.chinelarialeilaneneves.com.br/mochila-clio-pets-cp24021d-raposa-lilas-laranjha-vaquinha-azul-laranja","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6769/05-mochila-clio-pets-cp24021d-animals.png?ims=290x290","true","false"
"Mochila Clio Pets CP24021D Animals","Clio Pets","2370581-RAPOSALILASLARANJA","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","89.90","85.41","UN","RAPOSA LILAS/LARANJA | VAQUINHA AZUL/LARANJA | VAQUINHA ROSA/AZUL","Design Encantador de Bichinhos Com estampa exclusiva de animais, a mochila apresenta detalhes em PU e puxadores personalizados, proporcionando um visual lúdico e divertido que agrada às crianças. Disponível em diferentes modelos de bichinhos, como raposinha, vaquinha e girafinha, oferece opções para todos os gostos. Funcionalidade e Conforto Equipada com compartimento principal espaçoso, bolso frontal com zíper e dois bolsos laterais telados, a mochila facilita a organização dos materiais esc...","https://www.chinelarialeilaneneves.com.br/mochila-clio-pets-cp24021d-raposa-lilas-laranjha-raposa-lilas-laranja","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6765/01-mochila-clio-pets-cp24021d-animals.png?ims=290x290","true","false"
"Mochila Clio Pets CP3398D Doguinho","Clio Pets","2370554-CP3398CINZAVERMELHOPRE","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","89.90","85.41","UN","CP3398 CINZA/VERMELHO/PRE","Design Encantador: Doguinho Amável Com estampa exclusiva de cachorro, orelhas em pelúcia e puxadores em formato de patinhas, esta mochila encanta crianças que adoram um toque de fofura no dia a dia. Os detalhes em vermelho adicionam um charme especial. Funcionalidade e Conforto para o Dia a Dia Equipada com compartimento principal espaçoso, bolso frontal com zíper e dois bolsos laterais telados, é perfeita para organizar materiais escolares e objetos pessoais. As alças de costas acolchoadas e...","https://www.chinelarialeilaneneves.com.br/mochila-clio-pets-cp3398d-doguinho-cp3398-cinza-vermelho-pre","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6738/01-mochila-clio-pets-cp3398d-doguinho.png?ims=290x290","true","false"
"Mochila Clio Style PR23022J Princesas","Clio Style","2370582-PR23022JROSA","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","99.90","94.91","UN","PR23022J ROSA","Encantamento todos os dias A Mochila Clio Style traz a magia das Princesas Mágicas para o dia a dia escolar. Com visual colorido e alegre, ela conquista desde o primeiro olhar. A estampa exclusiva combina com o universo infantil e transforma a rotina em algo especial. Espaço ideal para a escola O compartimento principal comporta cadernos, livros e estojos com folga. O bolso frontal com zíper é prático para objetos menores, enquanto os dois bolsos laterais em redinha com elástico acomodam garr...","https://www.chinelarialeilaneneves.com.br/mochila-clio-style-pr23022j-princesas-m-pr23022j-rosa","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6786/01-mochila-clio-style-pr23022j-princesas.png?ims=290x290","true","false"
"Mochila Infantil Clio Pets CP3403D Safari","Clio Pets","2370556-GIRAFAAMARELOAZUL","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","89.90","85.41","UN","GIRAFA AMARELO/AZUL | ZEBRA CINZA/VERDE","Design Encantador: Girafa e Zebra Com estampa exclusiva, orelhas em pelúcia e puxadores em formato de patinhas, esta mochila encanta crianças que adoram um toque de fofura no dia a dia. Funcionalidade e Conforto para o Dia a Dia Equipada com compartimento principal espaçoso, bolso frontal com zíper e dois bolsos laterais telados, é perfeita para organizar materiais escolares e objetos pessoais. As alças de costas ajustáveis, junto à alça de mão, proporcionam conforto e praticidade no transpor...","https://www.chinelarialeilaneneves.com.br/mochila-infantil-clio-pets-cp3403d-girafa-girafa-amarelo-azul","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6747/01-mochila-infantil-clio-pets-cp3403d-girafa.png?ims=290x290","true","false"
"Mochila Infantil Clio Pets CP3403D Safari","Clio Pets","2370556-ZEBRACINZAVERDE","Baby Menina","Mochilas","Unissex Baby","Infantil","Mochila","89.90","85.41","UN","GIRAFA AMARELO/AZUL | ZEBRA CINZA/VERDE","Design Encantador: Girafa e Zebra Com estampa exclusiva, orelhas em pelúcia e puxadores em formato de patinhas, esta mochila encanta crianças que adoram um toque de fofura no dia a dia. Funcionalidade e Conforto para o Dia a Dia Equipada com compartimento principal espaçoso, bolso frontal com zíper e dois bolsos laterais telados, é perfeita para organizar materiais escolares e objetos pessoais. As alças de costas ajustáveis, junto à alça de mão, proporcionam conforto e praticidade no transpor...","https://www.chinelarialeilaneneves.com.br/mochila-infantil-clio-pets-cp3403d-girafa-zebra-cinza-verde","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2025/05/produto/6750/04-mochila-infantil-clio-pets-cp3403d-girafa.png?ims=290x290","true","false"
"Sandalia Baby Led Molekinha 2741.206 Italia/Flor","Molekinha","2557854-ourorosadorosadou","Baby Menina","Sandálias","Unissex Baby","Baby","Sandália","129.90","123.41","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","ouro rosado/rosa dou","Luzes que encantam, conforto que acompanha o dia a dia","https://www.chinelarialeilaneneves.com.br/sandalia-led-infantil-molekinha-2741-206-italia-flor-ouro-rosado","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/13311/01-sandalia-baby-led-molekinha-2741-206-italia-flor.png?ims=290x290","true","false"
"Sandalia Led Molekinha 2741.205 Glit Mini","Molekinha","2557855-brancodourado","Baby Menina","Sandálias","Unissex Baby","Baby","Sandália","119.90","113.91","17 | 18 | 19 | 20 | 21 | 22 | 23 | 24 | 25 | 26","branco/dourado","Delicadeza, conforto e luzes que encantam cada passinho","https://www.chinelarialeilaneneves.com.br/sandalia-led-infantil-molekinha-2741-205-glit-mini-branco-dourado","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/13334/03-sandalia-led-molekinha-2741-205-glit-mini.png?ims=290x290","true","false"
"Sandalia Papete Baby Grendene 23361 Hello Kitty","Grendene Kids","2564250-bq901begevermelho","Baby Menina","Papetes","Unissex Baby","Baby","Sandália","59.99","56.99","17/18 | 19 | 20/21 | 22 | 23/24 | 25 | 26/27","bq901 bege/vermelho","Delicadeza clássica, conforto absoluto e o charme da Hello Kitty.","https://www.chinelarialeilaneneves.com.br/sandalia-papete-baby-grendene-kids-23361-hello-kit-bq901-bege-vermelho","https://chinelarialeilaneneves.cdn.magazord.com.br/img/2026/02/produto/14224/01-sandalia-papete-baby-grendene-23361-hello-kittie.png?ims=290x290","true","false"
